,Date,HourEnding,Settlement Point Price
626,2021/01/27,3,85.5649
627,2021/01/27,4,39.0629
628,2021/01/27,5,57.9889
629,2021/01/27,6,22.6584
630,2021/01/27,7,22.5485
631,2021/01/27,8,22.3165
632,2021/01/27,9,22.2972
633,2021/01/27,10,21.2528
634,2021/01/27,11,20.9041
635,2021/01/27,12,20.1547
636,2021/01/27,13,20.31
637,2021/01/27,14,19.9499
638,2021/01/27,15,19.8885
639,2021/01/27,16,20.1863
640,2021/01/27,17,21.637
641,2021/01/27,18,22.8329
642,2021/01/27,19,25.2257
643,2021/01/27,20,22.3785
644,2021/01/27,21,21.3118
645,2021/01/27,22,21.3984
646,2021/01/27,23,22.1121
647,2021/01/27,24,25.1412
648,2021/01/28,1,26.7799
649,2021/01/28,2,24.0789
650,2021/01/28,3,32.946
651,2021/01/28,4,29.6453
652,2021/01/28,5,32.2637
653,2021/01/28,6,39.1093
654,2021/01/28,7,22.1434
655,2021/01/28,8,35.4722
656,2021/01/28,9,32.0194
657,2021/01/28,10,17.33
658,2021/01/28,11,17.5485
659,2021/01/28,12,25.9658
660,2021/01/28,13,35.6776
661,2021/01/28,14,58.3187
662,2021/01/28,15,53.3697
663,2021/01/28,16,70.6471
664,2021/01/28,17,47.0067
665,2021/01/28,18,15.6752
666,2021/01/28,19,15.5091
667,2021/01/28,20,16.3077
668,2021/01/28,21,22.7867
669,2021/01/28,22,35.5452
670,2021/01/28,23,16.467
671,2021/01/28,24,18.4192
672,2021/01/29,1,16.6421
673,2021/01/29,2,17.9435
674,2021/01/29,3,24.8955
675,2021/01/29,4,13.9049
676,2021/01/29,5,0.0207
677,2021/01/29,6,4.1928
678,2021/01/29,7,1.7434
679,2021/01/29,8,7.363
680,2021/01/29,9,0.0908
681,2021/01/29,10,4.189
682,2021/01/29,11,4.6942
683,2021/01/29,12,13.7399
684,2021/01/29,13,16.5922
685,2021/01/29,14,12.5652
686,2021/01/29,15,5.492
687,2021/01/29,16,10.3406
688,2021/01/29,17,20.5289
689,2021/01/29,18,14.4813
690,2021/01/29,19,5.1805
691,2021/01/29,20,8.8858
692,2021/01/29,21,17.3065
693,2021/01/29,22,13.4462
694,2021/01/29,23,18.1398
695,2021/01/29,24,4.5297
696,2021/01/30,1,9.5806
697,2021/01/30,2,12.666
698,2021/01/30,3,6.5348
699,2021/01/30,4,0.3109
700,2021/01/30,5,-3.0884
701,2021/01/30,6,-7.1971
702,2021/01/30,7,-12.0393
703,2021/01/30,8,-11.7386
704,2021/01/30,9,-4.7567
705,2021/01/30,10,-8.4091
706,2021/01/30,11,-6.8584
707,2021/01/30,12,3.233
708,2021/01/30,13,19.3804
709,2021/01/30,14,4.1204
710,2021/01/30,15,8.0284
711,2021/01/30,16,8.6556
712,2021/01/30,17,12.4653
713,2021/01/30,18,12.3947
714,2021/01/30,19,13.7913
715,2021/01/30,20,5.6618
716,2021/01/30,21,-10.5393
717,2021/01/30,22,-18.7388
718,2021/01/30,23,-16.0694
719,2021/01/30,24,-11.6755
720,2021/01/31,1,4.4675
721,2021/01/31,2,15.7201
722,2021/01/31,3,14.4162
723,2021/01/31,4,6.3372
724,2021/01/31,5,6.3439
725,2021/01/31,6,0.656
726,2021/01/31,7,10.7628
727,2021/01/31,8,-10.5735
728,2021/01/31,9,-12.0489
729,2021/01/31,10,-0.3525
730,2021/01/31,11,9.441
731,2021/01/31,12,13.0331
732,2021/01/31,13,18.6231
733,2021/01/31,14,11.189
734,2021/01/31,15,12.7885
735,2021/01/31,16,19.7114
736,2021/01/31,17,18.6717
737,2021/01/31,18,17.2323
738,2021/01/31,19,39.8137
739,2021/01/31,20,46.1037
740,2021/01/31,21,28.8769
741,2021/01/31,22,21.4472
742,2021/01/31,23,13.5388
743,2021/01/31,24,19.368
744,2021/02/01,1,23.6865
745,2021/02/01,2,39.0284
746,2021/02/01,3,22.5809
747,2021/02/01,4,20.8479
748,2021/02/01,5,20.1672
749,2021/02/01,6,19.3908
750,2021/02/01,7,20.3344
751,2021/02/01,8,20.8888
752,2021/02/01,9,21.1762
753,2021/02/01,10,20.4603
754,2021/02/01,11,20.5698
755,2021/02/01,12,20.6885
756,2021/02/01,13,21.5532
757,2021/02/01,14,26.1042
758,2021/02/01,15,23.8454
759,2021/02/01,16,24.0772
760,2021/02/01,17,24.9826
761,2021/02/01,18,21.0291
762,2021/02/01,19,20.7942
763,2021/02/01,20,21.7674
764,2021/02/01,21,19.995
765,2021/02/01,22,20.4665
766,2021/02/01,23,19.8206
767,2021/02/01,24,18.9627
768,2021/02/02,1,19.0997
769,2021/02/02,2,21.0634
770,2021/02/02,3,16.0861
771,2021/02/02,4,13.5919
772,2021/02/02,5,11.6542
773,2021/02/02,6,4.4101
774,2021/02/02,7,-4.5514
775,2021/02/02,8,-3.0899
776,2021/02/02,9,-3.3218
777,2021/02/02,10,3.6865
778,2021/02/02,11,21.4933
779,2021/02/02,12,18.6207
780,2021/02/02,13,30.3147
781,2021/02/02,14,35.642
782,2021/02/02,15,12.5597
783,2021/02/02,16,67.1441
784,2021/02/02,17,11.3681
785,2021/02/02,18,18.2543
786,2021/02/02,19,21.342
787,2021/02/02,20,20.6099
788,2021/02/02,21,20.7155
789,2021/02/02,22,17.0538
790,2021/02/02,23,18.9862
791,2021/02/02,24,24.8762
792,2021/02/03,1,19.4786
793,2021/02/03,2,17.001
794,2021/02/03,3,11.8075
795,2021/02/03,4,11.5682
796,2021/02/03,5,5.4224
797,2021/02/03,6,-2.1723
798,2021/02/03,7,0.8186
799,2021/02/03,8,8.2054
800,2021/02/03,9,12.2828
801,2021/02/03,10,11.0782
802,2021/02/03,11,16.2671
803,2021/02/03,12,15.9667
804,2021/02/03,13,22.5667
805,2021/02/03,14,19.7879
806,2021/02/03,15,16.6514
807,2021/02/03,16,63.3061
808,2021/02/03,17,80.8253
809,2021/02/03,18,23.6291
810,2021/02/03,19,41.4232
811,2021/02/03,20,20.7204
812,2021/02/03,21,7.0232
813,2021/02/03,22,2.4002
814,2021/02/03,23,-4.8045
815,2021/02/03,24,1.4923
816,2021/02/04,1,44.0669
817,2021/02/04,2,35.5077
818,2021/02/04,3,4.1791
819,2021/02/04,4,-19.2939
820,2021/02/04,5,-25.0809
821,2021/02/04,6,-30.6513
822,2021/02/04,7,-31.2389
823,2021/02/04,8,-31.634
824,2021/02/04,9,-20.7662
825,2021/02/04,10,-20.6602
826,2021/02/04,11,-10.8002
827,2021/02/04,12,-4.3407
828,2021/02/04,13,62.455
829,2021/02/04,14,65.5992
830,2021/02/04,15,74.8107
831,2021/02/04,16,50.6242
832,2021/02/04,17,38.0183
833,2021/02/04,18,29.1174
834,2021/02/04,19,3.7587
835,2021/02/04,20,6.862
836,2021/02/04,21,4.1061
837,2021/02/04,22,2.448
838,2021/02/04,23,13.1989
839,2021/02/04,24,24.5625
840,2021/02/05,1,42.5209
841,2021/02/05,2,45.5421
842,2021/02/05,3,33.8578
843,2021/02/05,4,28.1671
844,2021/02/05,5,32.4714
845,2021/02/05,6,22.1281
846,2021/02/05,7,17.3686
847,2021/02/05,8,14.4799
848,2021/02/05,9,8.9512
849,2021/02/05,10,13.5866
850,2021/02/05,11,29.2914
851,2021/02/05,12,27.3414
852,2021/02/05,13,39.0487
853,2021/02/05,14,29.8909
854,2021/02/05,15,27.8827
855,2021/02/05,16,53.9237
856,2021/02/05,17,33.8724
857,2021/02/05,18,27.5004
858,2021/02/05,19,25.1466
859,2021/02/05,20,23.6003
860,2021/02/05,21,23.1202
861,2021/02/05,22,23.1971
862,2021/02/05,23,21.6934
863,2021/02/05,24,21.5723
864,2021/02/06,1,21.5359
865,2021/02/06,2,20.0724
866,2021/02/06,3,18.3019
867,2021/02/06,4,10.6833
868,2021/02/06,5,7.6363
